ady ; przecież
nupel ; smoczek
nygus ; leń
nyrol ; skąpiec
obkład ; to co się kładzie na sznytce
oblec ; włożyć, ubrać
ochlapus ; pijak
odkluczyć ; otworzyć zamek
ogigle ; gałązki bez liści, zwiędnięte kwiaty
oglajdrany ; ubłocony
okowita ; spirytus, denaturat
omurzyć się ; pobrudzić się
opypłać się ; ubrudzić się
ostrzytko ; temperówka
pałka ; kurze udko
pamperek ; firgurka, mała lalka
pana ; złapana guma
papcie ; obuwie
parzybroda ; zupa z kapusty, tzw. „kapuśniak”
pener ; menel, lump, żul
pierdoły ; sprawy nieistotne
pinda ; dziewczyna
pindaczyć się ; stroić się
plyndze ; placki ziemniaczane
pochichrać ; pośmiać się
poruta ; wstyd
pory ; spodnie
pośrupać ; porysować
przechadzka ; spacer
przepękać ; przetrzymać
przesmradzać ; wybrzydzać
pynk ; pęk
pyra ; ziemniak
pyza ; bułki gotowane na parze
rajzefiber ; niepokój przed podróżą
rajzować ; podróżować
redyski ; rzodkiewki
repeta ; gęsta zupa stanowiąca jednodaniowy obiad
retenta ; klunkry
rojber ; psotnik
rug cug ; szybko
ruła ; spokój
rumpuć ; gęsta zupa jarzynowa
rychtować ; szykować
rychtyg ; w porządku
rychtyk ; poprawnie
ryczka ; stołek
ryfa ; gęba, mina, wyraz twarzy
rzęchy ; stare urządzenia
siano ; pieniądze
siora ; siostra
skataić się ; zmęczyć się
skibka ; kawałek chleba
skitrać ; schować
skitrany ; schowany
sklep ; piwnica
skład ; sklep
skopowina ; baranina
skroić ; okraść kogoś na ulicy
skrzyczki ; skwarki
smaka ; apetyt
spartolić ; zepsuć
sprawunki ; zakupy
spucnąć ; zjeść
stalować się ; popisywać się, głupio zachowywać
statki ; naczynia
statory ; naczynia kuchenne
stryknąć się ; zderzyć się
szabel ; fasolka
szabel, szabelek ; fasolka szparagowa
szaber ; złodziejstwo
szaga ; na szagę czyli na skróty, na ukos
szaganki ; kopytka, kluski
szagówki ; kopytka, kluski
szajba ; obłęd, bzik
szałaput ; lekkomyślny, raptowny
szampiter ; szampan
szczun ; chłopak
szczun / szczón / szczon ; chłopak
szkieber ; Niemiec
szkieł ; policjant
szkieły ; policja
szkieta ; noga, stopa
szlauch ; wąż ogrodowy
szneka z glancem ; drożdżówka z lukrem
sznupa ; twarz
sznupioki ; łobuzki
sznytka ; kromka chleba
sznytloch ; szczypiorek
szparać ; oszczędzać
szparować ; oszczędzać
szplin ; postrzeleniec, wariat
szpryca ; strzykawka
szpycnąć ; zerknąć, spojrzeć, zobaczyć
szpycować ; spoglądać, obserwować
sztender, sztynder ; stojak, trzepak do dywanów
sztrykować ; robić na drutach
sztyfcik ; trzpień
sztyft ; uczeń rzemieślniczy, nowicjusz, pomocnik
szuchrować ; oszukiwać
szuszwol ; brudas, człowiek nieporządny
szwaja ; noga, stopa
szwamka ; gąbka
szwung ; pęd, impet, ciąg
szydera ; kpiny
śrupać ; chrupać, głośno gryźć
ślipie ; oczy
śrubociąg ; korkociąg, śrubokręt
śrup ; koń
świgać ; rzucać
świgać ; rzucać
świntojanki ; porzeczki
Świynty Marcin ; Święty Marcin
taśtać ; nieść
tej ; ty, lub jako dodatek do frazy
trzewiki ; buty
tuk ; szpik kostny
tytka ; torebka papierowa
ukrychnąć ; ukroić
uhajtnąć ; uciąć, skaleczyć się
upitrasić ; ugotować
uskromnić się ; uspokoić się
uślumprać ; ubrudzić się
utonkać ; zmoczyć, topić się
wajcha ; dźwignia, przekładnia, zwrotnica
w te i wefte ; tam i z powrotem
waserwaga ; poziomnica
wećpić ; wrzucić
weko ; słój do zapraw
wew ; w
węborek ; wiadro
wiara ; ludzie, grupa ludzi, np. wuchta wiary ; dużo ludzi, tłum
wiaruchna ; grupa ludzi, towarzystwo
wichajster ; mniejsza wajcha
wiks ; lanie, bicie
winkiel ; róg, np. coś jest za winklem czyli za rogiem
wknaić się ; wcisnąć się, wleźć gdzieś
wodnity ; wodnisty
wuchta ; wielka ilość
wyćpić ; wyrzucić
wyćpnąć ; wyrzucić
wykopyrtnąć się ; przewrócić
wymarać ; wyszukać
wymborek ; wiadro
wypindaczony / wypindraczony ; wystrojony
wyro ; łóżko
zakluczyć ; zamknąć drzwi na klucz
z gorem ; niespełna rozumu
zajta ; strona, strona www 
zaklepka ; zasmażka do zupy
zaś ; potem
zawdzi nasie ; załóż na siebie
zes ; z
znorać się ; ubrudzić się
zynder ; łobuz, nierób
zyzol ; zezowaty
żgajek ; chłopak, wyrostek
żgak / żgok ; kolec, zadra
żybura ; mętna ciecz, brudna woda
